Survey_ID,Age,Gender,City,State,Occupation,Monthly_Income_INR,Num_Family_Members,Owns_Vehicle,Satisfaction_Score
128,29,Male,Ahmedabad,Gujarat,Architect,75000,2,Yes,9
129,65,Female,Jaipur,Rajasthan,Retired,40000,2,Yes,10
130,36,Male,Lucknow,UP,Lawyer,80000,3,No,7
131,39,Female,Chandigarh,Punjab,Designer,66000,2,Yes,8
132,22,Male,Bhopal,MP,Student,NA,1,No,5
133,53,Male,Mumbai,Maharashtra,Doctor,180000,4,Yes,9
134,45,Female,Delhi,Delhi,Marketing Manager,96000,3,Yes,7
135,58,Male,Bengaluru,KA,Consultant,135000,2,Yes,8
136,33,Female,Chennai,TN,Software Engineer,78000,3,No,7
137,44,Male,Hyderabad,TG,Sales Executive,70000,4,Yes,6
138,49,Female,Pune,MH,Homemaker,24000,5,No,8
139,27,Male,Kolkata,West Bengal,Analyst,55000,2,Yes,7
140,63,Female,Ahmedabad,Gujarat,Professor,100000,2,Yes,9
141,38,Male,Jaipur,Rajasthan,Artist,50000,1,No,8
142,31,Female,Lucknow,Uttar Pradesh,Journalist,58000,2,No,7
143,47,Male,Chandigarh,CH,Banker,88000,4,Yes,8
144,25,Male,Bhopal,Madhya Pradesh,Student,7000,1,No,6
145,54,Male,Mumbai,Maharashtra,Engineer,155000,5,Yes,9
146,46,Female,Delhi,Delhi,Doctor,125000,3,Yes,10
147,59,Male,Bengaluru,Karnataka,Businessman,165000,4,No,7
148,32,Female,Chennai,Tamil Nadu,Student,11000,2,No,6
149,61,Male,Hyderabad,Telangana,Government Employee,92000,4,Yes,8
150,36,Male,Pune,Maharashtra,IT Professional,88000,3,Yes,7
151,53,Female,Kolkata,WB,Teacher,62000,4,No,8
152,30,Male,Ahmedabad,GJ,Architect,77000,2,Yes,9
153,66,Female,Jaipur,RJ,Retired,42000,2,Yes,10
154,37,Male,Lucknow,UP,Lawyer,82000,3,No,7
155,40,Female,Chandigarh,Punjab,Designer,68000,2,Yes,8
156,23,Male,Bhopal,MP,Student,NULL,1,No,5
157,55,Male,Mumbai,MH,Doctor,185000,4,Yes,9
158,47,Female,Delhi,Delhi NCR,Marketing Manager,98000,3,Yes,7
159,60,Male,Bengaluru,KA,Consultant,140000,2,Yes,8
160,34,Female,Chennai,TN,Software Engineer,80000,3,No,7
161,45,Male,Hyderabad,Telangana,Sales Executive,72000,4,Yes,6
162,50,Female,Pune,Maharashtra,Homemaker,None,5,No,8
163,28,Male,Kolkata,West Bengal,Analyst,57000,2,Yes,7
164,64,Female,Ahmedabad,Gujarat,Professor,102000,2,Yes,9
165,39,Male,Jaipur,Rajasthan,Artist,52000,1,No,8
166,32,Female,Lucknow,Uttar Pradesh,Journalist,60000,2,No,7
167,48,Male,Chandigarh,CH,Banker,90000,4,Yes,8
168,26,Male,Bhopal,Madhya Pradesh,Student,8000,1,No,6
169,56,Male,Mumbai,Maharashtra,Engineer,160000,5,Yes,9
170,48,Female,Delhi,DL,Doctor,130000,3,Yes,10
171,61,Male,Bengaluru,Karnataka,Businessman,170000,4,No,7
172,33,Female,Chennai,Tamil Nadu,Student,12000,2,No,6
173,62,Male,Hyderabad,TG,Government Employee,94000,4,Yes,8
174,37,Male,Pune,MH,IT Professional,90000,3,Yes,7
175,54,Female,Kolkata,West Bengal,Teacher,64000,4,No,8
176,31,Male,Ahmedabad,GJ,Architect,79000,2,Yes,9
177,67,Female,Jaipur,RJ,Retired,44000,2,Yes,10
178,38,Male,Lucknow,UP,Lawyer,84000,3,No,7
179,41,Female,Chandigarh,Punjab,Designer,70000,2,Yes,8
180,24,Male,Bhopal,MP,Student,NA,1,No,5
181,57,Male,Mumbai,Maharashtra,Doctor,190000,4,Yes,9
182,49,Female,Delhi,Delhi,Marketing Manager,100000,3,Yes,7
183,62,Male,Bengaluru,KA,Consultant,145000,2,Yes,8
184,35,Female,Chennai,TN,Software Engineer,82000,3,No,7
185,46,Male,Hyderabad,Telangana,Sales Executive,74000,4,Yes,6
186,51,Female,Pune,Maharashtra,Homemaker,26000,5,No,8
187,29,Male,Kolkata,West Bengal,Analyst,59000,2,Yes,7
188,65,Female,Ahmedabad,Gujarat,Professor,104000,2,Yes,9
189,40,Male,Jaipur,Rajasthan,Artist,54000,1,No,8
190,33,Female,Lucknow,Uttar Pradesh,Journalist,62000,2,No,7
191,49,Male,Chandigarh,CH,Banker,92000,4,Yes,8
192,27,Male,Bhopal,Madhya Pradesh,Student,9000,1,No,6
193,58,Male,Mumbai,MH,Engineer,165000,5,Yes,9
194,50,Female,Delhi,Delhi NCR,Doctor,135000,3,Yes,10
195,63,Male,Bengaluru,Karnataka,Businessman,175000,4,No,7
196,34,Female,Chennai,Tamil Nadu,Student,13000,2,No,6
197,63,Male,Hyderabad,Telangana,Government Employee,96000,4,Yes,8
198,38,Male,Pune,MH,IT Professional,92000,3,Yes,7
199,55,Female,Kolkata,WB,Teacher,66000,4,No,8
200,32,Male,Ahmedabad,GJ,Architect,81000,2,Yes,9
201,120,Male,Pune,Maharashtra,Retired,5000000,3,Yes,12
202,34,Other,Kochi,Kerala,Data Scientist,95000,2.5,Y,8
203,45,Female,Indore,,Accountant,-25000,4,N,7
204,Twenty Two,M,Surat,Gujarat,Graphic Designer,45000,3,Yes,9
205,38,Male,Nagpur,Maharashtra,Manager,85000,invalid,No,4
206,29,Female,Visakhapatnam,Andhra Pradesh,HR,65000,3,Y,nine
207,50,Male,Patna,Bihar,Shopkeeper,,5,No,6
208,25,Female,Agra,Uttar Pradesh,Content Writer,30000$,2,Yes,8
209,33,Male,Goa,Goa,Hotelier,120000,2,Yes,-5
210,41,Female,Mysuru,Karnataka,Researcher,78000,4,No,7
